riechen	пахнуть
der Geruch	запах
lecker	вкусный
erfreuen	радовать
Schnittchen	Канапе
die Zunge	язык
rausstrecken	вытащить (язык)
wahrnehmen	воспринимать
süß	сладкий
sauer	кислый
Tu nicht so	не делай этого
der Schote	Стручок
bitter	горький
fruchtig	фруктовый
ungewönlich	необычно
die Birne	груша
eingelegte	маринованный
Salzstangen	соленые палочки
die Zitrone	Лимон
allergisch	иметь аллергию
Gräser	злаки
die Allergie	Аллергия
verderben	портить
verschimmeln	плесневеть
verfaulen	гнить
das Pärchen	парочка
entsorgen	выбросить
Heuschnupfen	сенная лихорадка
Nüsse	орехи
Vegetarier	вегетарианец
zudem	кроме того
ernähren	питаться
Essgewohnheit	пищевая привычка
zubereiten	готовить
dämpfen	отварить на пару
Teigtaschen	вареники
frittieren	жарить во фритюре
aufbacken	подогреть
allerdings	хотя, однако
aufwärmen	подогреть
aufbewahren	хранить
Zusatzstoff	добавка
haltbar	долговечный
knusprig	хрустящий
deswegen	поэтому
heimische	домашний
enthälten	содержит
beinhalten	содержать
unterstützen	поддерживать
achten auf	обратить внимание на
vermutungen	гипотезы
Mais	кукуруза
die Beilage	гарнир
Zutaten	ингредиенты
umstellen	регулировать
bereits	уже
statt	вместо
verzichten	отрекаться
entsetzt	объятый ужасом
erleichtert	облегчение
die Aubergine	баклажан
schauen	взглянуть
hinzufügen	добавлять
anwidern	быть противным
verdorben	испорчен
Bissen	кусок
rümpfen	морщить нос
necken	дразнить
das Lamm	лама
der Eintopf	тушёное мясо
der Auflauf	запеканка
der Pfannkuchen	блины
der Faschingskrapfen	пончик
Möhren	морковь
Linse	чечевица
die Rösti	оладьи
unterrühren	смешивать
abmessen	отмерять
zusammenmischen	перемешать
umrühren	перемешивать
Schüssel	Мюсли
der Pfannenheber	лопатка
der Messbecher	мерная кружка
die Küchenwaage	кухонные весы
die Reibe	тёрка
der Teig	тесто
einleiten	начинать
wiederzugeben	воспроизводить
besitzen	обладать, иметь
Vorgangspassiv	Пассивный процесс
die Handlung	действие
vorwärmern	подогреть
